text,label
Government launches new healthcare policy #0,REAL
Scientists discover new species in Amazon rainforest #1,REAL
Stock market hits record high this week #2,REAL
Local man wins lottery jackpot #3,REAL
New education reform bill passed in parliament #4,REAL
Apple announces new iPhone with advanced features #5,REAL
WHO warns about new virus outbreak risks #6,REAL
Researchers find link between exercise and longevity #7,REAL
Fake news: Government to give free cars to all citizens #8,FAKE
Celebrity claims drinking sugar water cures cancer #9,FAKE
Fake news: Schools to close for 6 months nationwide #10,FAKE
Social media rumor: Petrol price dropped to 10 rupees #11,FAKE
Police warn citizens about fake job scam messages #12,FAKE
Researchers confirm water found on Mars #13,REAL
NASA schedules new moon mission #14,REAL
Doctors say eating chocolate prevents all diseases #15,FAKE
Government launches new healthcare policy #16,REAL
Scientists discover new species in Amazon rainforest #17,REAL
Stock market hits record high this week #18,REAL
Local man wins lottery jackpot #19,REAL
New education reform bill passed in parliament #20,REAL
Apple announces new iPhone with advanced features #21,REAL
WHO warns about new virus outbreak risks #22,REAL
Researchers find link between exercise and longevity #23,REAL
Fake news: Government to give free cars to all citizens #24,FAKE
Celebrity claims drinking sugar water cures cancer #25,FAKE
Fake news: Schools to close for 6 months nationwide #26,FAKE
Social media rumor: Petrol price dropped to 10 rupees #27,FAKE
Police warn citizens about fake job scam messages #28,FAKE
Researchers confirm water found on Mars #29,REAL
NASA schedules new moon mission #30,REAL
Doctors say eating chocolate prevents all diseases #31,FAKE
Government launches new healthcare policy #32,REAL
Scientists discover new species in Amazon rainforest #33,REAL
Stock market hits record high this week #34,REAL
Local man wins lottery jackpot #35,REAL
New education reform bill passed in parliament #36,REAL
Apple announces new iPhone with advanced features #37,REAL
WHO warns about new virus outbreak risks #38,REAL
Researchers find link between exercise and longevity #39,REAL
Fake news: Government to give free cars to all citizens #40,FAKE
Celebrity claims drinking sugar water cures cancer #41,FAKE
Fake news: Schools to close for 6 months nationwide #42,FAKE
Social media rumor: Petrol price dropped to 10 rupees #43,FAKE
Police warn citizens about fake job scam messages #44,FAKE
Researchers confirm water found on Mars #45,REAL
NASA schedules new moon mission #46,REAL
Doctors say eating chocolate prevents all diseases #47,FAKE
Government launches new healthcare policy #48,REAL
Scientists discover new species in Amazon rainforest #49,REAL
Stock market hits record high this week #50,REAL
Local man wins lottery jackpot #51,REAL
New education reform bill passed in parliament #52,REAL
Apple announces new iPhone with advanced features #53,REAL
WHO warns about new virus outbreak risks #54,REAL
Researchers find link between exercise and longevity #55,REAL
Fake news: Government to give free cars to all citizens #56,FAKE
Celebrity claims drinking sugar water cures cancer #57,FAKE
Fake news: Schools to close for 6 months nationwide #58,FAKE
Social media rumor: Petrol price dropped to 10 rupees #59,FAKE
Police warn citizens about fake job scam messages #60,FAKE
Researchers confirm water found on Mars #61,REAL
NASA schedules new moon mission #62,REAL
Doctors say eating chocolate prevents all diseases #63,FAKE
Government launches new healthcare policy #64,REAL
Scientists discover new species in Amazon rainforest #65,REAL
Stock market hits record high this week #66,REAL
Local man wins lottery jackpot #67,REAL
New education reform bill passed in parliament #68,REAL
Apple announces new iPhone with advanced features #69,REAL
WHO warns about new virus outbreak risks #70,REAL
Researchers find link between exercise and longevity #71,REAL
Fake news: Government to give free cars to all citizens #72,FAKE
Celebrity claims drinking sugar water cures cancer #73,FAKE
Fake news: Schools to close for 6 months nationwide #74,FAKE
Social media rumor: Petrol price dropped to 10 rupees #75,FAKE
Police warn citizens about fake job scam messages #76,FAKE
Researchers confirm water found on Mars #77,REAL
NASA schedules new moon mission #78,REAL
Doctors say eating chocolate prevents all diseases #79,FAKE
Government launches new healthcare policy #80,REAL
Scientists discover new species in Amazon rainforest #81,REAL
Stock market hits record high this week #82,REAL
Local man wins lottery jackpot #83,REAL
New education reform bill passed in parliament #84,REAL
Apple announces new iPhone with advanced features #85,REAL
WHO warns about new virus outbreak risks #86,REAL
Researchers find link between exercise and longevity #87,REAL
Fake news: Government to give free cars to all citizens #88,FAKE
Celebrity claims drinking sugar water cures cancer #89,FAKE
Fake news: Schools to close for 6 months nationwide #90,FAKE
Social media rumor: Petrol price dropped to 10 rupees #91,FAKE
Police warn citizens about fake job scam messages #92,FAKE
Researchers confirm water found on Mars #93,REAL
NASA schedules new moon mission #94,REAL
Doctors say eating chocolate prevents all diseases #95,FAKE
Government launches new healthcare policy #96,REAL
Scientists discover new species in Amazon rainforest #97,REAL
Stock market hits record high this week #98,REAL
Local man wins lottery jackpot #99,REAL
New education reform bill passed in parliament #100,REAL
Apple announces new iPhone with advanced features #101,REAL
WHO warns about new virus outbreak risks #102,REAL
Researchers find link between exercise and longevity #103,REAL
Fake news: Government to give free cars to all citizens #104,FAKE
Celebrity claims drinking sugar water cures cancer #105,FAKE
Fake news: Schools to close for 6 months nationwide #106,FAKE
Social media rumor: Petrol price dropped to 10 rupees #107,FAKE
Police warn citizens about fake job scam messages #108,FAKE
Researchers confirm water found on Mars #109,REAL
NASA schedules new moon mission #110,REAL
Doctors say eating chocolate prevents all diseases #111,FAKE
Government launches new healthcare policy #112,REAL
Scientists discover new species in Amazon rainforest #113,REAL
Stock market hits record high this week #114,REAL
Local man wins lottery jackpot #115,REAL
New education reform bill passed in parliament #116,REAL
Apple announces new iPhone with advanced features #117,REAL
WHO warns about new virus outbreak risks #118,REAL
Researchers find link between exercise and longevity #119,REAL
Fake news: Government to give free cars to all citizens #120,FAKE
Celebrity claims drinking sugar water cures cancer #121,FAKE
Fake news: Schools to close for 6 months nationwide #122,FAKE
Social media rumor: Petrol price dropped to 10 rupees #123,FAKE
Police warn citizens about fake job scam messages #124,FAKE
Researchers confirm water found on Mars #125,REAL
NASA schedules new moon mission #126,REAL
Doctors say eating chocolate prevents all diseases #127,FAKE
Government launches new healthcare policy #128,REAL
Scientists discover new species in Amazon rainforest #129,REAL
Stock market hits record high this week #130,REAL
Local man wins lottery jackpot #131,REAL
New education reform bill passed in parliament #132,REAL
Apple announces new iPhone with advanced features #133,REAL
WHO warns about new virus outbreak risks #134,REAL
Researchers find link between exercise and longevity #135,REAL
Fake news: Government to give free cars to all citizens #136,FAKE
Celebrity claims drinking sugar water cures cancer #137,FAKE
Fake news: Schools to close for 6 months nationwide #138,FAKE
Social media rumor: Petrol price dropped to 10 rupees #139,FAKE
Police warn citizens about fake job scam messages #140,FAKE
Researchers confirm water found on Mars #141,REAL
NASA schedules new moon mission #142,REAL
Doctors say eating chocolate prevents all diseases #143,FAKE
Government launches new healthcare policy #144,REAL
Scientists discover new species in Amazon rainforest #145,REAL
Stock market hits record high this week #146,REAL
Local man wins lottery jackpot #147,REAL
New education reform bill passed in parliament #148,REAL
Apple announces new iPhone with advanced features #149,REAL
